#html:true
#deck:Fantastico! A1::01 - Primo in contro
"primo/a";"erste/r/s"
"signorl pl";"hier: Herr und Frau"
"";"oder"
"mettete in ordine";"ordnen Sie (zu)"
"ill verbo plverbi";"Verb"
"formate delle frasi";"bilden Sie Satze"
"la Germania";"Deutschland"
"l'inglese m";"Englisch (Sprache)"
"la mediazione";"Mediation"
"alutate <i> inf aiutare </i>";"helfen Sie"
"glusto/a";"richtig"
"ll tedesco";"Deutsch (Sprache)"
"I francese";"Franzosisch (Sprgche)"
"si presenta <i> inf <br> presentarsi </i>";"(er/sie) stellt sich vor"
"le tagliatellepl";"Tagliatelle"
"il suono <i> pl suoni </i>";"Laut"
"l'autovalutazione f";"Selbsteinschatzung"
